FPC,CIPC,OLPC,TARPC,Adj_TOTAL_PROG_FUND,Adj_TOTAL_PROG_FUND_PP,ASSED_VAL,ASSED_VAL_PP,CoL,CoL_PP,OVERRIDE_REV,OVERRIDE_REV_PP,STATE_SHARE,MILL_PERCENT_TP,OVERRIDE_MILL,OVERRIDE_PERCENT_TP,COMPOSITE_PERCENT_DIFF,COMPOSITE_DIFF,BETTER
8443.4,0,2227.5,4052,68138238,8070,680504266.4,80596,1023677.816,121.24,7059334.976,836.0772883,72,0.998711276,11.586,10.36,0,0,0
37290.9,4597.4,0,13124.4,296127036.9,7941,2529851947,67841,5923286.556,158.84,49837245.25,1336.445225,75,0.854313059,24.665,16.83,2.249488753,22,1
7033.8,832.7,0,5096.1,59344170.6,8437,733625340,104300,1501786.638,213.51,3946454.67,561.0700717,67,1.236221406,6.666,6.65,1.800720288,15,1
17913.6,677.8,0,5316.9,140478451.2,7842,1291194374,72078.99998,1480559.04,82.65,604029.557,33.71904905,74,0.919140525,0.581,0.43,1.282051282,12,1
1031.8,0,0,245.2,8690851.4,8423,164255337.4,159193,313409.25,303.75,0,0,54,1.889979817,0,0,-0.106157113,-1,0
976.9,0,0,189.9,8208890.7,8403,96609548.6,98894,197480.335,202.15,280760.5908,287.3995197,65,1.176889206,3.105,3.42,-1.029866117,-10,0
9329.8,1064.5,0,6217.1,77679914.8,8326,677828629.6,72652,3049445.13,326.85,15140394.68,1622.79949,74,0.872591881,26.783,19.49,0.116144019,1,1
2367.7,0,0,1411.5,18745080.9,7917,133694548.2,56466,0,0,0,0,78,0.713224706,0,0,2.866242038,27,1
2590.4,0,0,1294.3,21780083.2,8408,550273491.2,212428,767975.888,296.47,5619028.698,2169.174142,40,2.526498573,11.184,25.8,-3.101604278,-29,0
1347.5,0,0,1031.3,12876710,9556,200560552.5,148839,339260.075,251.77,3717317.367,2758.677081,64,1.557544998,19.975,28.87,0.591715976,5,1
52869.7,0,0,11997.2,427821612.4,8092,6145521058,116239,1003995.603,18.99,106442453,2013.297844,68,1.436468117,19.218,24.88,-0.845070423,-9,0
14642.7,0,0,2087.9,114535199.4,7822,1723885071,117730,3157844.682,215.66,25906834.39,1769.266214,59,1.505113782,16.714,22.62,1.007326007,11,1
38579.7,1073.8,0,23355.4,326924377.8,8474,2640741885,68448.99999,2551661.358,66.14,73723567.16,1910.94195,77,0.807753127,32.429,22.55,3.185437998,28,1
2765.5,0,2266,822.3,21474107.5,7765,64698872.5,23395,93059.075,33.65,139583.9575,50.47331676,92,0.30128783,2.319,0.65,8.260869565,76,1
1652.5,0,1,720,13568677.5,8211,286120460,173144,147716.975,89.39,1549527.268,937.6866977,50,2.108683473,5.942,11.42,0.513347023,5,1
2292.5,0,1803,1661.5,18892492.5,8241,61831017.5,26971,0,0,0,0,93,0.327278243,0,0,9.481668774,75,1
30188.5,0,0,6530.7,239002354.5,7917,3440039952,113952,3107906.075,102.95,40079318.62,1327.635312,62,1.439333081,13.59,16.77,1.18226601,12,1
29794.2,0,56.5,5437.9,240171046.2,8061,6644940838,223028,5484218.394,184.07,65276572.21,2190.91542,26,2.766753505,10.722,27.18,0.35335689,4,1
1002.5,0,0,247.4,8250575,8230,195069457.5,194583,179457.525,179.01,1941273.472,1936.432391,58,2.364313487,11.023,23.53,-3.567984571,-37,0
1206.2,82.8,0,342.7,9648393.8,7999,231432387.8,191869,173415.374,143.77,1510933.959,1252.639661,60,2.398662333,7.698,15.66,1.85546875,19,1
765.7,0,0,133.9,6692218,8740,395837037.7,516961,585729.872,764.96,1966774.392,2568.596568,21,5.914885584,4.646,29.39,4.825462012,47,1
1037.8,0,0,504.9,8370894.8,8066,32095002.8,30926,0,0,167425.54,161.3273656,92,0.383411852,5.909,2,-4.517453799,-44,0
4680.7,0,0,2005.8,36752856.4,7852,345065884.7,73721,0,0,0,0,75,0.938881814,0,0,1.884816754,18,1
87643.7,0,257.5,47704.7,737258804.4,8412,16824259939,191962,13961641.41,159.3,232458557.3,2652.31337,38,2.282001902,15.354,31.53,1.342975207,13,1
63925.8,588,2001,6192.9,501689678.4,7848,6480286198,101372,4936350.276,77.22,65619130.29,1026.488996,64,1.291692151,11.372,13.08,-1.568265683,-17,0
6590,312,0,1963.1,55593240,8436,2905531000,440900,3140069.1,476.49,14421493.45,2188.390508,36,5.226410621,5.701,25.94,0.616016427,6,1
2283.7,0,0,372.3,18381501.3,8049,212283617.2,92956,706576.78,309.4,1433688.048,627.7917625,64,1.154876382,7.49,7.8,0.899100899,9,1
11449.3,0,0,7111.1,94731508.2,8274,649713427.1,56747,5661335.371,494.47,5238713.278,457.5575169,87,0.685847232,8.85,5.53,-0.64171123,-6,0
9017.5,0,0.5,3094.2,69579030,7716,382278877.5,42393,4239397.275,470.13,6742470.606,747.709521,87,0.549416796,20.262,9.69,-1.060445387,-10,0
7807,0,0,2614,60246619,7717,150753170,19310,2450929.58,313.94,680742.8264,87.19646809,94,0.250226772,5,1.13,-1.533742331,-15,0
26240.4,3769,247,13905.6,210185604,8010,2653560450,101125,13979310.7,532.7400002,55995290.52,2133.934335,68,1.262484395,26.534,26.64,0.739957717,7,1
4995.3,0,0,592.6,38548730.1,7717,384318400.8,76936,2610793.545,522.65,6128879.19,1226.929151,70,0.996967734,17.471,15.9,1.563857515,18,1
1431.5,0,0,398.7,11832779,8266,116545572.5,81415,691414.5,483,3645769.791,2546.817877,74,0.984938301,33.09,30.81,0.848256362,9,1
24667.2,0,751,2416.5,190134777.6,7708,1587309653,64349.00001,12423635.28,503.65,23767562.38,963.5289932,75,0.834833939,16.851,12.5,0.277520814,3,1
1032.4,0,0,450.5,8783659.2,8508,32145838.8,31137,177376.644,171.81,0,0,89,0.365973202,0,0,0.107411386,1,1
624.8,0,31,112.2,5514484.8,8826,43248031.2,69219,272350.32,435.9,167642.2592,268.313475,78,0.784262407,4.35,3.04,1.715438951,17,1
6464,0,0,518.8,49895616,7719,513571264,79451,2978675.84,460.81,3542611.882,548.0525808,73,1.029291359,7.789,7.1,0.718132855,8,1
23664.1,0,7111.5,5941.5,183302118.6,7746,882954899.2,37312,3075859.718,129.98,14224363.55,601.0946349,87,0.481693777,18.5,7.76,7.683863886,70,1
3649.3,0,0,1633,28161648.1,7717,240065551.2,65784,0,0,1244669.923,341.0708692,73,0.852455617,5.769,4.42,2.255639098,21,1
1336.3,0,0,611,10783941,8070,142480314.9,106623,46596.781,34.87,319215.1912,238.8798857,76,1.321226766,2.476,2.96,3.433001107,31,1
